Date Created,Number of Likes,Source,Tweet,Prediction,Label
2025-05-04 21:23:07+00:00,0,,MAGA feels threatened by cultural and racial differences - evil when it hurts others for no reason beyond childish misdirected hate. Billionaires ripped the guts out of America with their greed - and will do it again.  Not fault of migrants or Muslims - fault of men like those,5,religion
2025-05-04 21:20:10+00:00,0,,Stop hacking my feed and saying I’m talking to you ninjas. I dunno anybody and I’m to arms length for comfort for you to know me so please don’t do the uh clout chase thing . If I date in the future it will only be middle eastern and white appearing men or MULTI RACIAL no bi,1,ethnicity
2025-05-04 21:14:49+00:00,1,,"Never expected to have to clarify this, but both murder and directing racial slurs at a child are wrong.
Also, murder is worse.
Any conversation thereafter should begin by recognizing those two truths.",0,age
2025-05-04 21:14:28+00:00,0,,The entire point of this website is to drive racial hatred it really seems.,1,ethnicity
2025-05-04 21:14:02+00:00,1,,"I started a GiveSendGo in hopes of going back to school for IT to provide a better life for my kids, but I didn't call anyone a racial slur or stab anyone so I guess fuck me.",0,age
2025-05-04 21:10:26+00:00,0,,"Islam’s Stance on equality 🧵 

1/ Islam teaches that all humanity descends from Adam, uniting us as one family. The Quran (49:13) states: “We made you into nations and tribes to know one another.” Racial distinctions are for recognition, not division. Equality is divine.",5,religion
2025-05-04 21:08:10+00:00,0,,Vacava? Civil war? To finally put an end to all this prejudice on both sides of the racial divide?,1,ethnicity
2025-05-04 21:06:25+00:00,4,,"Dems be like... we figured out American racial harmony, let me introduce you to a concept and slogan we call ALL LIVES MATTER",1,ethnicity
2025-05-04 21:03:58+00:00,0,,"Ultimately, it’s only the Holy Spirit who can bring about society’s transformation. It’s the Spirit who brings unity, breaking down divisions of gender, race &amp; social position. Those indwelt by the Spirit should be fighting for gender, racial &amp; social equality. @nickygumbel⁩",5,religion
2025-05-04 21:02:50+00:00,0,,"Enjoying a backyard grilled steak with corn on the cob and a baked potato with the wife of 43 years watching college baseball with no out of control players, at commercial go to golf also no racial drama. With decent politicians it is the golden era.",0,age
